date,price,Fear&Greed
2019-07-25,9882.1,42
2019-07-26,9844.5583,24
2019-07-27,9466.2717,47
2019-07-28,9527.7717,16
2019-07-29,9501.0317,19
2019-07-30,9588.6033,22
2019-07-31,10090.535,31
2019-08-01,10405.2067,57
2019-08-02,10526.2167,61
2019-08-03,10818.6983,61
2019-08-04,10979.3133,62
2019-08-05,11802.0167,64
2019-08-06,11467.1983,66
2019-08-07,11981.1517,45
2019-08-08,12010.8983,61
2019-08-09,11868.7533,60
2019-08-10,11289.49,59
2019-08-11,11561.71,45
2019-08-12,11396.5433,48
2019-08-13,10875.3483,45
2019-08-14,10036.1867,11
2019-08-15,10307.895,13
2019-08-16,10358.7683,31
2019-08-17,10220.6033,20
2019-08-18,10321.7317,14
2019-08-19,10924.965,30
2019-08-20,10776.9083,39
2019-08-21,10133.3483,11
2019-08-22,10113.2,5
2019-08-23,10406.7433,33
2019-08-24,10147.7633,39
2019-08-25,10138.6683,33
2019-08-26,10365.1783,41
2019-08-27,10177.9267,30
2019-08-28,9723.805,32
2019-08-29,9500.6367,20
2019-08-30,9588.0717,24
2019-08-31,9608.6467,20
2019-09-01,9773.3417,24
2019-09-02,10386.915,28
2019-09-03,10634.6433,41
2019-09-04,10583.6617,43
2019-09-05,10580.27,41
2019-09-06,10308.0367,43
2019-09-07,10488.41,39
2019-09-08,10404.6433,43
2019-09-09,10314.9717,41
2019-09-10,10107.7217,41
2019-09-11,10164.0867,38
2019-09-12,10433.5567,39
2019-09-13,10372.5533,38
2019-09-14,10365.4467,39
2019-09-15,10312.6683,38
2019-09-16,10271.015,38
2019-09-17,10199.905,41
2019-09-18,10165.3267,38
2019-09-19,10282.6567,31
2019-09-20,10179.955,41
2019-09-21,9989.755,37
2019-09-22,10036.7067,37
2019-09-23,9694.5067,41
2019-09-24,8538.105,39
2019-09-25,8449.9167,15
2019-09-26,8075.9667,12
2019-09-27,8200.2833,24
2019-09-28,8221.3783,32
2019-09-29,8067.2683,33
2019-09-30,8316.8767,27
2019-10-01,8326.58,38
2019-10-02,8395.2183,39
2019-10-03,8246.5417,37
2019-10-04,8161.3483,30
2019-10-05,8153.9767,31
2019-10-06,7868.34,32
2019-10-07,8217.6333,27
2019-10-08,8191.0717,39
2019-10-09,8596.4533,37
2019-10-10,8590.3733,41
2019-10-11,8272.395,39
2019-10-12,8311.8117,38
2019-10-13,8290.9717,38
2019-10-14,8362.0733,37
2019-10-15,8171.27,39
2019-10-16,8002.8483,40
2019-10-17,8081.3133,40
2019-10-18,7966.2667,40
2019-10-19,7974.0883,41
2019-10-20,8242.8633,37
2019-10-21,8221.3733,37
2019-10-22,8034.545,39
2019-10-23,7478.905,33
2019-10-24,7435.8467,20
2019-10-25,8671.5083,24
2019-10-26,9261.9983,53
2019-10-27,9555.305,50
2019-10-28,9223.2067,52
2019-10-29,9437.585,54
2019-10-30,9170.285,53
2019-10-31,9164.365,50
2019-11-01,9265.4317,49
2019-11-02,9312.36,51
2019-11-03,9211.6,56
2019-11-04,9424.185,49
2019-11-05,9326.6033,54
2019-11-06,9345.69,53
2019-11-07,9205.8083,54
2019-11-08,8770.3617,42
2019-11-09,8813.3567,38
2019-11-10,9044.7817,39
2019-11-11,8726.36,40
2019-11-12,8820.2333,39
2019-11-13,8775.1017,38
2019-11-14,8639.1833,41
2019-11-15,8471.2783,38
2019-11-16,8496.6,41
2019-11-17,8516.08,38
2019-11-18,8191.0667,38
2019-11-19,8136.2767,32
2019-11-20,8098.3183,32
2019-11-21,7633.95,30
2019-11-22,7292.74,20
2019-11-23,7335.3217,23
2019-11-24,6924.8483,21
2019-11-25,7136.7617,17
2019-11-26,7175.5267,21
2019-11-27,7531.8283,20
2019-11-28,7442.2967,32
2019-11-29,7770.54,31
2019-11-30,7571.4083,38
2019-12-01,7420.8417,25
2019-12-02,7320.8167,28
2019-12-03,7312.8833,28
2019-12-04,7211.35,24
2019-12-05,7404.4033,21
2019-12-06,7556.8817,29
2019-12-07,7517.2,32
2019-12-08,7539.52,28
2019-12-09,7351.3367,32
2019-12-10,7232.8433,26
2019-12-11,7213.4767,20
2019-12-12,7199.51,23
2019-12-13,7263.045,22
2019-12-14,7077.1517,27
2019-12-15,7125.8167,21
2019-12-16,6893.2367,24
2019-12-17,6633.3717,23
2019-12-18,7299.7367,15
2019-12-19,7161.965,21
2019-12-20,7198.785,23
2019-12-21,7150.9133,23
2019-12-22,7520.0433,20
2019-12-23,7324.495,33
2019-12-24,7261.025,25
2019-12-25,7204.0217,22
2019-12-26,7205.8033,39
2019-12-27,7259.67,38
2019-12-28,7313.6933,37
